         | LCM       | FD        | SSF       |      DrM |
         | Se | PP  | Se | PP | Se | PP | Se | PP |
No MA 1 |  1.0 | 0.6461538461538462 |  0.3333333333333333 | 0.9655172413793104 | 0.9404761904761905  0.9634146341463414 | 0.9642857142857143 | 0.9878048780487805 |
No MA 2 |  1.0 | 0.6530612244897959 | 0.59375 | 0.8260869565217391 | 0.5625 | 0.9230769230769231 | 1.0 | 1.0 |
No MA 3 |  1.0 | 0.7777777777777778 | 0.5396825396825397 | 0.8292682926829268 |0.746031746031746 | 0.9591836734693877 | 1.0 | 0.9545454545454546 |
Weak MA 1 | 1.0 | 0.5878378378378378 |  0.39080459770114945 | 0.8717948717948718 |0.8275862068965517 | 0.935064935064935 | 0.9772727272727273 | 0.9662921348314607 |
Weak MA 2 |  1.0 | 0.7160493827160493 | 0.6551724137931034 | 0.926829268292683 | 0.8793103448275862 | 0.9272727272727272 | 0.9827586206896551 | 0.9661016949152542 |
Weak MA 3 |  1.0 | 0.5923076923076923 |0.4805194805194805 | 0.9024390243902439 | 0.9868421052631579 | 0.9146341463414634 | 0.974025974025974 | 0.974025974025974 |
Weak MA 4 | 1.0 | 0.581081081081081 | 0.3953488372093023 | 0.8717948717948718 |  0.8255813953488372 | 0.922077922077922 | 0.9770114942528736 | 0.9550561797752809 |
Strong MA 1 | 1.0 | 0.3125 |  0.4166666666666667 | 0.43859649122807015 | 0.6440677966101694 | 0.4691358024691358 | 0.6721311475409836 | 0.5125 |
Strong MA 2 | 1.0 | 0.4696132596685083 |0.35294117647058826 | 0.6122448979591837 |  0.011764705882352941 | 0.25 | 0.627906976744186 | 0.75 |
Strong MA 3 | 1.0 | 0.4278350515463917 |0.2619047619047619 | 0.6111111111111112 | 0.5238095238095238 | 0.7096774193548387 | 0.6818181818181818 | 0.821917808219178 |
