      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:10:09.096 12/11/1995]       12     ?    0    3    0	101/43
[16:10:09.792 12/11/1995]       99     ?    0    3    0	105/44
[16:10:10.488 12/11/1995]      186     ?    0    3    0	103/43
[16:10:11.176 12/11/1995]      272     ?    0    3    0	102/43
[16:10:11.872 12/11/1995]      359     ?    0    3    0	102/42
[16:10:12.568 12/11/1995]      446     ?    0    3    0	103/43
[16:10:13.264 12/11/1995]      533     ?    0    3    0	102/43
[16:10:13.960 12/11/1995]      620     ?    0    3    0	100/42
[16:10:14.656 12/11/1995]      707     ?    0    3    0	101/42
[16:10:15.352 12/11/1995]      794     ?    0    3    0	102/43
[16:10:16.048 12/11/1995]      881     ?    0    3    0	103/44
[16:10:16.744 12/11/1995]      968     N    0    3    0	102/43
[16:10:17.440 12/11/1995]     1055     N    0    3    0	101/42
[16:10:18.136 12/11/1995]     1142     N    0    3    0	102/43
[16:10:18.824 12/11/1995]     1228     N    0    3    0	104/44
[16:10:19.528 12/11/1995]     1316     N    0    3    0	102/43
[16:10:20.224 12/11/1995]     1403     N    0    3    0	100/42
[16:10:20.920 12/11/1995]     1490     N    0    3    0	100/42
[16:10:21.616 12/11/1995]     1577     N    0    3    0	103/43
[16:10:22.312 12/11/1995]     1664     N    0    3    0	102/43
[16:10:23.008 12/11/1995]     1751     N    0    3    0	101/42
[16:10:23.704 12/11/1995]     1838     N    0    3    0	99/42
[16:10:24.400 12/11/1995]     1925     N    0    3    0	101/42
[16:10:25.096 12/11/1995]     2012     N    0    3    0	102/43
[16:10:25.792 12/11/1995]     2099     N    0    3    0	100/42
[16:10:26.496 12/11/1995]     2187     N    0    3    0	99/42
[16:10:27.192 12/11/1995]     2274     N    0    3    0	100/42
[16:10:27.888 12/11/1995]     2361     N    0    3    0	102/43
[16:10:28.584 12/11/1995]     2448     N    0    3    0	101/43
[16:10:29.288 12/11/1995]     2536     N    0    3    0	99/42
[16:10:29.984 12/11/1995]     2623     N    0    3    0	99/41
[16:10:30.680 12/11/1995]     2710     N    0    3    0	100/43
[16:10:31.376 12/11/1995]     2797     N    0    3    0	100/43
[16:10:32.080 12/11/1995]     2885     N    0    3    0	100/42
[16:10:32.776 12/11/1995]     2972     N    0    3    0	98/42
[16:10:33.472 12/11/1995]     3059     N    0    3    0	99/42
[16:10:34.168 12/11/1995]     3146     N    0    3    0	101/43
[16:10:34.864 12/11/1995]     3233     N    0    3    0	99/42
[16:10:35.560 12/11/1995]     3320     N    0    3    0	98/42
[16:10:36.264 12/11/1995]     3408     N    0    3    0	99/42
[16:10:36.960 12/11/1995]     3495     N    0    3    0	102/43
[16:10:37.656 12/11/1995]     3582     N    0    3    0	101/42
[16:10:38.360 12/11/1995]     3670     N    0    3    0	98/42
[16:10:39.056 12/11/1995]     3757     N    0    3    0	98/41
[16:10:39.760 12/11/1995]     3845     N    0    3    0	100/42
[16:10:40.456 12/11/1995]     3932     N    0    3    0	100/43
[16:10:41.152 12/11/1995]     4019     N    0    3    0	98/42
[16:10:41.856 12/11/1995]     4107     N    0    3    0	98/41
[16:10:42.552 12/11/1995]     4194     N    0    3    0	99/42
[16:10:43.248 12/11/1995]     4281     N    0    3    0	99/43
[16:10:43.944 12/11/1995]     4368     N    0    3    0	98/42
[16:10:44.648 12/11/1995]     4456     N    0    3    0	98/41
[16:10:45.344 12/11/1995]     4543     N    0    3    0	98/41
[16:10:46.048 12/11/1995]     4631     N    0    3    0	99/42
[16:10:46.744 12/11/1995]     4718     N    0    3    0	98/42
[16:10:47.448 12/11/1995]     4806     N    0    3    0	97/41
[16:10:48.144 12/11/1995]     4893     N    0    3    0	98/41
[16:10:48.848 12/11/1995]     4981     N    0    3    0	100/42
[16:10:49.544 12/11/1995]     5068     N    0    3    0	100/43
[16:10:50.240 12/11/1995]     5155     N    0    3    0	99/42
[16:10:50.944 12/11/1995]     5243     N    0    3    0	99/41
[16:10:51.640 12/11/1995]     5330     N    0    3    0	99/42
[16:10:52.336 12/11/1995]     5417     N    0    3    0	101/43
[16:10:53.040 12/11/1995]     5505     N    0    3    0	99/42
[16:10:53.736 12/11/1995]     5592     N    0    3    0	97/41
[16:10:54.432 12/11/1995]     5679     N    0    3    0	99/41
[16:10:55.128 12/11/1995]     5766     N    0    3    0	100/42
[16:10:55.832 12/11/1995]     5854     N    0    3    0	98/42
[16:10:56.528 12/11/1995]     5941     N    0    3    0	98/41
[16:10:57.224 12/11/1995]     6028     N    0    3    0	97/41
[16:10:57.920 12/11/1995]     6115     N    0    3    0	100/42
[16:10:58.624 12/11/1995]     6203     N    0    3    0	99/43
[16:10:59.320 12/11/1995]     6290     N    0    3    0	99/42
[16:11:00.016 12/11/1995]     6377     N    0    3    0	98/41
[16:11:00.712 12/11/1995]     6464     N    0    3    0	99/42
[16:11:01.416 12/11/1995]     6552     N    0    3    0	99/43
[16:11:02.112 12/11/1995]     6639     N    0    3    0	99/42
[16:11:02.808 12/11/1995]     6726     N    0    3    0	98/41
[16:11:03.512 12/11/1995]     6814     N    0    3    0	98/41
[16:11:04.208 12/11/1995]     6901     N    0    3    0	99/43
