      Time     Sample #  Type  Sub Chan  Num	Aux
[01:06:00.316]       79     N    0    0    0
[01:06:01.160]      290     N    0    0    0
[01:06:02.028]      507     N    0    0    0
[01:06:02.916]      729     N    0    0    0
[01:06:03.732]      933     N    0    0    0
[01:06:04.500]     1125     N    0    0    0
[01:06:05.280]     1320     N    0    0    0
[01:06:06.072]     1518     N    0    0    0
[01:06:06.932]     1733     N    0    0    0
[01:06:07.748]     1937     N    0    0    0
[01:06:08.500]     2125     N    0    0    0
[01:06:09.252]     2313     N    0    0    0
[01:06:10.048]     2512     N    0    0    0
[01:06:10.880]     2720     N    0    0    0
[01:06:11.684]     2921     N    0    0    0
[01:06:12.476]     3119     N    0    0    0
[01:06:13.364]     3341     N    0    0    0
[01:06:14.328]     3582     N    0    0    0
[01:06:15.236]     3809     N    0    0    0
[01:06:16.092]     4023     N    0    0    0
[01:06:16.912]     4228     N    0    0    0
[01:06:17.712]     4428     N    0    0    0
[01:06:18.588]     4647     N    0    0    0
[01:06:19.484]     4871     N    0    0    0
[01:06:20.336]     5084     N    0    0    0
[01:06:21.248]     5312     N    0    0    0
[01:06:22.208]     5552     N    0    0    0
[01:06:23.212]     5803     N    0    0    0
[01:06:24.156]     6039     N    0    0    0
[01:06:25.032]     6258     N    0    0    0
[01:06:25.836]     6459     N    0    0    0
[01:06:26.608]     6652     N    0    0    0
[01:06:27.344]     6836     N    0    0    0
[01:06:28.072]     7018     N    0    0    0
[01:06:28.812]     7203     N    0    0    0
[01:06:29.580]     7395     N    0    0    0
[01:06:30.380]     7595     N    0    0    0
[01:06:31.260]     7815     N    0    0    0
[01:06:32.212]     8053     N    0    0    0
[01:06:33.224]     8306     N    0    0    0
[01:06:34.200]     8550     N    0    0    0
[01:06:35.124]     8781     N    0    0    0
[01:06:35.956]     8989     N    0    0    0
[01:06:36.760]     9190     N    0    0    0
[01:06:37.544]     9386     N    0    0    0
[01:06:38.424]     9606     N    0    0    0
[01:06:39.376]     9844     N    0    0    0
[01:06:40.336]    10084     N    0    0    0
[01:06:41.248]    10312     N    0    0    0
[01:06:42.180]    10545     N    0    0    0
[01:06:43.168]    10792     N    0    0    0
[01:06:44.204]    11051     N    0    0    0
[01:06:45.264]    11316     N    0    0    0
[01:06:46.268]    11567     N    0    0    0
[01:06:47.260]    11815     N    0    0    0
[01:06:48.284]    12071     N    0    0    0
[01:06:49.324]    12331     N    0    0    0
[01:06:50.360]    12590     N    0    0    0
[01:06:51.364]    12841     N    0    0    0
[01:06:52.312]    13078     N    0    0    0
[01:06:53.264]    13316     N    0    0    0
[01:06:54.192]    13548     N    0    0    0
[01:06:55.132]    13783     N    0    0    0
[01:06:56.060]    14015     N    0    0    0
[01:06:56.996]    14249     N    0    0    0
[01:06:57.868]    14467     N    0    0    0
[01:06:58.708]    14677     N    0    0    0
[01:06:59.528]    14882     N    0    0    0
[01:07:00.372]    15093     N    0    0    0
[01:07:01.256]    15314     N    0    0    0
[01:07:02.108]    15527     N    0    0    0
[01:07:02.900]    15725     N    0    0    0
[01:07:03.656]    15914     N    0    0    0
[01:07:04.396]    16099     N    0    0    0
[01:07:05.144]    16286     N    0    0    0
[01:07:05.940]    16485     N    0    0    0
[01:07:06.764]    16691     N    0    0    0
[01:07:07.552]    16888     N    0    0    0
[01:07:08.308]    17077     N    0    0    0
[01:07:09.100]    17275     N    0    0    0
[01:07:09.936]    17484     N    0    0    0
[01:07:10.772]    17693     N    0    0    0
[01:07:11.572]    17893     N    0    0    0
[01:07:12.328]    18082     N    0    0    0
[01:07:13.068]    18267     N    0    0    0
[01:07:13.828]    18457     N    0    0    0
[01:07:14.568]    18642     N    0    0    0
[01:07:15.296]    18824     N    0    0    0
[01:07:16.056]    19014     N    0    0    0
[01:07:16.880]    19220     N    0    0    0
[01:07:17.732]    19433     N    0    0    0
[01:07:18.552]    19638     N    0    0    0
[01:07:19.360]    19840     N    0    0    0
[01:07:20.176]    20044     N    0    0    0
[01:07:20.948]    20237     N    0    0    0
[01:07:21.720]    20430     N    0    0    0
[01:07:22.512]    20628     N    0    0    0
[01:07:23.260]    20815     N    0    0    0
[01:07:23.996]    20999     N    0    0    0
[01:07:24.720]    21180     N    0    0    0
[01:07:25.436]    21359     N    0    0    0
[01:07:26.140]    21535     N    0    0    0
[01:07:26.828]    21707     N    0    0    0
[01:07:27.512]    21878     N    0    0    0
[01:07:28.204]    22051     N    0    0    0
[01:07:28.928]    22232     N    0    0    0
[01:07:29.696]    22424     N    0    0    0
[01:07:30.508]    22627     N    0    0    0
[01:07:31.300]    22825     N    0    0    0
